Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10226795,2019-10-04 01:51:05,2019-10-03 13:42:08,1753433,266521816,1753433,152,109,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/009987/SRR10226795,SRX6946350,K6-CIP-10-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474383,SAMN12908419,simple,573,Klebsiella pneumoniae,K6-CIP-10-3,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,790C0F53A6A49BDF88EB24E6325A0AC5,52160CB2059B052A467E90D9BE6BB41A
SRR10226791,2019-10-04 01:51:05,2019-10-03 13:42:02,1318464,200406528,1318464,152,83,,https://sra-download.ncbi.nlm.nih.gov/traces/sra64/SRR/009987/SRR10226791,SRX6946354,K6-CIP-60-1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474387,SAMN12908423,simple,573,Klebsiella pneumoniae,K6-CIP-60-1,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,348D063ACFD5951DF69F3EF1D0A7C278,A2494313BE88BF01407D50F1E4E66D05
SRR10226800,2019-10-04 20:09:14,2019-10-03 13:42:24,1546807,235114664,1546807,152,95,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/009987/SRR10226800,SRX6946345,K6-CIP-60-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474378,SAMN12908424,simple,573,Klebsiella pneumoniae,K6-CIP-60-2,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,46D05C60CCDAA011D61F74D04EE81A4C,014D92BAD7CE5B8B3572524BC8201B73
SRR10226799,2019-10-04 01:51:05,2019-10-03 13:42:11,1186396,180332192,1186396,152,73,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/009987/SRR10226799,SRX6946346,K6-CIP-60-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474379,SAMN12908425,simple,573,Klebsiella pneumoniae,K6-CIP-60-3,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,21102533F92A1FCA589CB0908A760644,85C0936C71BA4024317ADE0597FE3415
SRR10226802,2019-10-04 01:51:05,2019-10-03 13:42:28,1761389,267731128,1761389,152,109,,https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/009987/SRR10226802,SRX6946343,K6-Control-10-1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474376,SAMN12908414,simple,573,Klebsiella pneumoniae,K6-Control-10-1,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,615C9F577EB87295F51159B9E4D5E8FD,1C14D5FC8F1AFDE1EB495F3AD3D862C8
SRR10226801,2019-10-04 01:51:05,2019-10-03 13:42:07,1409378,214225456,1409378,152,87,,https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/009987/SRR10226801,SRX6946344,K6-Control-10-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474377,SAMN12908415,simple,573,Klebsiella pneumoniae,K6-Control-10-2,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,87211D82E9BCE6264572A1DBE6542814,D235D4DEC5DCB94834AB1D69107EE582
SRR10226798,2019-10-04 01:51:05,2019-10-03 13:42:37,2024550,307731600,2024550,152,133,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/009987/SRR10226798,SRX6946347,K6-Control-10-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474380,SAMN12908416,simple,573,Klebsiella pneumoniae,K6-Control-10-3,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,E3BD85C29126E2CC19500479D4899766,DFC32115C4F3F541E94DE635048E1487
SRR10226794,2019-10-04 01:51:05,2019-10-03 13:42:16,1451313,220599576,1451313,152,89,,https://sra-download.ncbi.nlm.nih.gov/traces/sra23/SRR/009987/SRR10226794,SRX6946351,K6-Control-60-1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474384,SAMN12908420,simple,573,Klebsiella pneumoniae,K6-Control-60-1,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,1B0D6D81B8F4A820C90E32BB51A6ECF2,0EC69DBBBBE50B98B316CD9207EDDE17
SRR10226793,2019-10-04 01:51:05,2019-10-03 13:42:12,1536724,233582048,1536724,152,98,,https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/009987/SRR10226793,SRX6946352,K6-Control-60-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474385,SAMN12908421,simple,573,Klebsiella pneumoniae,K6-Control-60-2,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,BAF1179E698AF9A9384C71087694BDC9,F7671BB4C01615BCC47B4F8082CAB3AE
SRR10226792,2019-10-04 01:51:05,2019-10-03 13:42:11,1499474,227920048,1499474,152,91,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/009987/SRR10226792,SRX6946353,K6-Control-60-3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474386,SAMN12908422,simple,573,Klebsiella pneumoniae,K6-Control-60-3,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,4C637AEA085516A65E8221BA8170065F,25DAD7184FDA7B359161A8F47301B424
SRR10756541,2019-12-24 11:52:00,2019-12-22 20:16:27,2550,5457102,0,2140,1,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/010504/SRR10756541,SRX7431051,FJSLCRKPRNA01,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP238531,PRJNA596084,,596084,SRS5876945,SAMN13612217,simple,573,Klebsiella pneumoniae,KPN222,,,,,,,no,,,,,FUJIAN PROVINCIAL HOSPITAL,SRA1015600,,public,24C6C48BC5E30C4C738EE7AC1927F1CF,F5C7B9C914A3EB892351FBD42FECA0E3
SRR8517482,2019-02-01 02:20:12,2019-02-01 02:17:20,11612471,1660583353,11612471,143,287,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517482,SRX5321112,Kp_R_Cip_+_000m_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316887,SAMN10856581,simple,573,Klebsiella pneumoniae,Kp_R_Cip_+_000m_rep1,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,7186151F9EFE350B3BF6D026BFAEF338,3165B52FB1C43AE31502B8B18720D8D5
SRR8517481,2019-02-01 02:24:11,2019-02-01 02:18:15,15372455,2198261065,15372455,143,396,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517481,SRX5321113,Kp_R_Cip_+_000m_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316888,SAMN10856582,simple,573,Klebsiella pneumoniae,Kp_R_Cip_+_000m_rep2,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,7C0D6A035B555A0CFF19ECA8B150F315,F93007BEA745533683C06F85A70EC25C
SRR8517480,2019-02-01 02:17:15,2019-02-01 02:16:20,9342732,1336010676,9342732,143,242,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517480,SRX5321114,Kp_R_Cip_+_010m_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316889,SAMN10856583,simple,573,Klebsiella pneumoniae,Kp_R_Cip_+_010m_rep1,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,6E44386FDA78D3677783401B741A9B10,C9642F574D7759D70E821A73CB162199
SRR8517479,2019-02-01 02:20:12,2019-02-01 02:17:59,13012734,1860820962,13012734,143,346,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517479,SRX5321115,Kp_R_Cip_+_010m_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316890,SAMN10856584,simple,573,Klebsiella pneumoniae,Kp_R_Cip_+_010m_rep2,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,114D8A1B5F556200FEF2EE1782B6FC7A,607CAEF49C824951BC012CFD50433987
SRR8517486,2019-02-01 02:20:12,2019-02-01 02:17:19,11325943,1619609849,11325943,143,281,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517486,SRX5321108,Kp_R_Cip_+_030m_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316883,SAMN10856585,simple,573,Klebsiella pneumoniae,Kp_R_Cip_+_030m_rep1,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,0C8A61CBF484CC3C4323C1760E9FA4EE,04281FCE3E9975BF46BB5FB6A2F592C2
SRR8517485,2019-02-01 02:24:11,2019-02-01 02:19:20,15575839,2227344977,15575839,143,398,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517485,SRX5321109,Kp_R_Cip_+_030m_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316884,SAMN10856586,simple,573,Klebsiella pneumoniae,Kp_R_Cip_+_030m_rep2,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,D7CF47BA895BD3261E47E0EC3417C0EB,7BC32502A29EC38D00729692E3A1BCE8
SRR8517484,2019-02-01 02:18:13,2019-02-01 02:16:25,9010727,1288533961,9010727,143,231,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517484,SRX5321110,Kp_R_Cip_+_060m_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316885,SAMN10856587,simple,573,Klebsiella pneumoniae,Kp_R_Cip_+_060m_rep1,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,D044037A32AD8794DB600F58439D1CED,739191294C6D71F2282BE014FA26B306
SRR8517483,2019-02-01 02:18:13,2019-02-01 02:16:41,8840325,1264166475,8840325,143,233,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517483,SRX5321111,Kp_R_Cip_+_060m_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316886,SAMN10856588,simple,573,Klebsiella pneumoniae,Kp_R_Cip_+_060m_rep2,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,C1844CF7269C0B4CC96126629B1A72EE,83C54E6ACA324A0A1F8D5382A256629E
SRR8517474,2019-02-01 02:18:13,2019-02-01 02:17:14,11877904,1698540272,11877904,143,297,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517474,SRX5321120,Kp_R_Cip_-_000m_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316897,SAMN10856589,simple,573,Klebsiella pneumoniae,Kp_R_Cip_-_000m_rep1,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,40B4B511D35B629A3A6C19D99ECCAE8E,380CAC46225D015D101E013C89122580
SRR8517473,2019-02-01 02:20:12,2019-02-01 02:17:20,12629532,1806023076,12629532,143,340,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517473,SRX5321121,Kp_R_Cip_-_000m_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316896,SAMN10856590,simple,573,Klebsiella pneumoniae,Kp_R_Cip_-_000m_rep2,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,66A5CF83E6A5AD07F80D327C772682F1,874C6AD78E7A8FDE8E7D459AC2C747E6
SRR8517202,2019-02-01 02:16:20,2019-02-01 02:15:09,11588224,1657116032,11588224,143,293,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517202,SRX5320968,Kp_R_Cip_-_010m_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316743,SAMN10856591,simple,573,Klebsiella pneumoniae,Kp_R_Cip_-_010m_rep1,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,23F6AA9FC37503C875A9C682A970EE65,FF05B8C019D1676A927B755C15D52791
SRR8517352,2019-02-01 02:16:18,2019-02-01 02:15:05,8798247,1258149321,8798247,143,216,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517352,SRX5320818,Kp_R_Cip_-_060m_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316593,SAMN10856595,simple,573,Klebsiella pneumoniae,Kp_R_Cip_-_060m_rep1,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,D43F8BDF267E795DAE381F0E11F9E123,4E326ACB534C80C493CCC0570A640EB4
SRR8517353,2019-02-01 02:17:14,2019-02-01 02:15:42,13776207,1969997601,13776207,143,352,NC_016845.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517353,SRX5320817,Kp_R_Cip_-_060m_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316592,SAMN10856596,simple,573,Klebsiella pneumoniae,Kp_R_Cip_-_060m_rep2,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,E70A9F65E9F0B0D21DD67F0ECD865F94,5D8539689A6A07622659716E3A29C1EC
SRR8517354,2019-02-01 02:16:18,2019-02-01 02:14:40,7325012,996201632,7325012,136,421,NC_012731.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517354,SRX5320816,Kp_R_Gent_+_000m_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316591,SAMN10856597,simple,573,Klebsiella pneumoniae,Kp_R_Gent_+_000m_rep1,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,D45C6FBECD429E4978E5C39E6B5AC999,EF9D01525C92F74FFCF648CF99B45763
SRR8517355,2019-02-01 02:17:14,2019-02-01 02:16:15,9895944,1345848384,9895944,136,560,NC_012731.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517355,SRX5320815,Kp_R_Gent_+_000m_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316590,SAMN10856598,simple,573,Klebsiella pneumoniae,Kp_R_Gent_+_000m_rep2,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,6C92F764A441BAAB9822B6BA08CEBE54,DBCF7857D58FA22F144B674E43C847B7
SRR8517191,2019-02-01 02:16:20,2019-02-01 02:13:55,4595415,624976440,4595415,136,267,NC_012731.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517191,SRX5320979,Kp_R_Gent_+_010m_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316754,SAMN10856600,simple,573,Klebsiella pneumoniae,Kp_R_Gent_+_010m_rep2,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,A36017534C64061431ABD559C2887A03,2CECCEFEF0480A4EAB81780151591BE8
SRR8517323,2019-02-01 02:17:14,2019-02-01 02:15:17,10366744,1409877184,10366744,136,621,NC_012731.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517323,SRX5320847,Kp_R_Gent_+_030m_rep1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316622,SAMN10856601,simple,573,Klebsiella pneumoniae,Kp_R_Gent_+_030m_rep1,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,E1846EF5953B7F3C4C9E56A1FC1E3FB1,5B25E630119BA7AB20285696C12CA610
SRR8517322,2019-02-01 02:16:19,2019-02-01 02:14:50,7763716,1055865376,7763716,136,472,NC_012731.fna,https://sra-download.ncbi.nlm.nih.gov/traces/sra76/SRR/008317/SRR8517322,SRX5320848,Kp_R_Gent_+_030m_rep2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP183116,PRJNA518730,,518730,SRS4316623,SAMN10856602,simple,573,Klebsiella pneumoniae,Kp_R_Gent_+_030m_rep2,,,,,,,no,,,,,BROAD INSTITUTE OF MIT AND HARVARD,SRA842608,,public,4C34D42C8AFC779DB9A661BF1410DC14,C8F6E397032BF39B09340D2DA8C0E37E
